Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,8792.143999999998,105505.73,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,263.25,3159.00,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,537.6,6451.20,USD,"Data transfer out to internet (5 TB per month), Data transfer out to origin (5 TB per month), Number of requests (HTTPS) ( per month)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,196.69,2360.28,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,5060.799999999999,60729.60,USD,"Storage volume (General Purpose SSD (gp3)), Storage amount (5 TB), Nodes (2), Instance Type (db.m4.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (500 MiBps), Additional backup storage (5 TB)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,2498.284,29979.41,USD,"Tenancy (Dedicated Instances), Workload (Consistent, Number of instances: 4), Advance EC2 instance (t3.2xlarge), Pricing strategy (On-Demand), Operating system (Linux), Snapshot Frequency (No snapshot storage), DT Inbound: Internet (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Enable monitoring (enabled)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
